model,seq,kf,iou,absdiff_med_mm,signed_med_mm,n_px,occ_ratio
MD-prior,AP12,0851,0.7781808719079109,3.747612237930298,-1.896589994430542,50263,0.9934960186710599
MD-prior,AP12,0865,0.7914689821860174,5.905449390411377,-4.018918037414551,51764,0.9863194984367504
MD-prior,AP12,0870,0.8048395972455642,6.137103080749512,-3.795742988586426,52559,0.9817748309762551
MD-prior,AP12,0882,0.7981283991991025,6.519705295562744,-4.20929479598999,54464,0.984142653441765
MD-prior,AP12,0888,0.7926165243910931,5.930721759796143,-3.2232701778411865,54927,0.9906287693687564
MD-prior,AP12,0896,0.7743627672542494,5.879998207092285,-3.437727689743042,54851,0.9981491192892618
MD-prior,AP12,0905,0.7705504330818664,4.9796552658081055,-2.7849526405334473,53216,0.99402120897448
MD-prior,AP12,0913,0.7722676056338028,4.244729995727539,-2.646789073944092,52782,0.9885740474421986
MD-prior,AP12,0920,0.7719136109649809,3.580152988433838,-2.3533403873443604,53450,0.9733350223263768
MD-prior,AP12,0958,0.8040064561869277,2.7317702770233154,-1.9682049751281738,52622,0.947071082022728
MD-prior,AP12,1119,0.7934655605538353,2.726733684539795,-1.4402419328689575,53898,0.9676478600157034
MD-prior,AP12,1128,0.7816492450638792,2.883747100830078,-0.5593448877334595,52770,0.9878288826192507
MD-prior,AP12,1134,0.776498115959645,3.4930408000946045,-1.1046826839447021,50886,0.986003770828733
MD-prior,AP12,1144,0.7561219628394473,4.156827926635742,0.05698204040527344,47345,0.9997287473552867
MD-prior,AP12,1151,0.7658031088082902,4.084378242492676,0.23958086967468262,44813,1.0119621392485918
MD-prior,AP12,1157,0.7742256453722983,4.695862770080566,0.701218843460083,41677,1.0143299443537928
MD-prior,AP12,1164,0.7718351227450435,5.484506607055664,1.7437338829040527,37894,1.0007843488783812
MD-prior,AP12,1173,0.8043288912115669,5.037128925323486,2.1268129348754883,35862,0.9836257869915974
MD-prior,AP12,1178,0.8062133488517839,6.020635604858398,2.677783489227295,34196,0.9671883379649944
MD-prior,AP12,1184,0.8071704555665379,6.9346723556518555,2.8245596885681152,33864,0.9556117363930282
MD-prior,AP12,1190,0.8284363004935112,7.4173808097839355,3.2500922679901123,34167,0.9440544151585084
MD-prior,AP12,1196,0.8372387873848174,6.9651007652282715,2.21368670463562,35292,0.9428975028132257
MD-prior,AP12,1199,0.8318921098615529,7.234901428222656,3.2644569873809814,36163,0.9445910917695179
MD-prior,AP12,1204,0.8305504157656554,7.777243614196777,3.390923023223877,36238,0.9393259488439102
MD-prior,AP12,1211,0.8354380165289256,6.984710693359375,3.426060199737549,37142,0.9422341417910448
MD-prior,AP12,1219,0.8289246877061565,6.452679634094238,3.2297372817993164,38409,0.9506786508693086
MD-prior,AP12,1229,0.8087049759739486,6.330609321594238,2.482593059539795,39954,0.9649251477630614
MD-prior,AP12,1235,0.7959742109603418,5.633205413818359,1.5228092670440674,41889,0.9893707571259523
MD-prior,AP12,1241,0.7841571944664728,5.067974090576172,1.1684298515319824,44103,1.0187836490528415
MD-prior,AP12,1245,0.7662363924370598,5.6365132331848145,0.6747692823410034,45224,1.0385094134121675
MD-prior,AP12,1248,0.7626028178190406,5.022034168243408,0.011593103408813477,46662,1.0533765962695205
MD-prior,AP12,1252,0.7650253439536567,4.486471176147461,0.5350708961486816,48241,1.0608940190420175
MD-prior,AP12,1257,0.7768125626461744,5.1732659339904785,-0.20359456539154053,50252,1.0392525970856863
MD-prior,AP12,1261,0.7843275162278195,4.84853982925415,1.1421442031860352,52962,1.0369843765681979
MD-prior,AP12,1266,0.7867469026548672,5.663692951202393,0.1453012228012085,54764,1.030426877343159
MD-prior,AP12,1270,0.781498163675421,5.84910774230957,0.2936124801635742,54460,1.0225313109698533
MD-prior,AP12,1277,0.7822754881578411,6.0053019523620605,1.0603666305541992,54230,1.0196633971328704
MD-prior,AP12,1283,0.7850945254834226,6.279423713684082,0.5394667387008667,55488,1.0115258876301985
MD-prior,AP12,1293,0.785354106518008,7.5258612632751465,-1.0982751846313477,56895,1.00959954473298
MD-prior,AP12,1300,0.7896869983948636,8.621305465698242,-2.3912787437438965,57913,1.0020499775549903
MD-prior,AP12,1334,0.7873952769568636,7.736638069152832,-1.1169463396072388,55940,1.00613179556624
MD-prior,AP12,1342,0.7861065238114419,7.326364517211914,-0.894397497177124,55295,1.0128763806929943
MD-prior,AP12,1349,0.7825697037840154,6.681293487548828,-0.9846985340118408,53792,1.0128776771814212
MD-prior,AP12,1356,0.7775708946726856,6.502955913543701,-0.6908774375915527,54378,1.0131529044100915
MD-prior,AP12,1363,0.7789440977006836,5.846858024597168,-0.2200603485107422,54075,1.0119942549810537
MD-prior,AP12,1369,0.7758976027768738,5.846738815307617,-0.23576617240905762,54029,1.0106229467931596
MD-prior,AP12,1373,0.7760349529844367,5.253881454467773,-0.03349781036376953,55055,1.0092100819697296
MD-prior,AP12,1378,0.7725563909774437,5.282849311828613,-0.22044777870178223,56473,1.0124514455038152
MD-prior,AP12,1381,0.7720845431831994,5.2942633628845215,0.41788816452026367,56807,1.0152974243192185
MD-prior,AP12,1387,0.7726155425299155,4.697576522827148,0.05765259265899658,56962,1.0201323687855934
MD-prior,AP12,1391,0.7747648561952917,4.334688186645508,0.05245208740234375,56653,1.0213790327574463
MD-prior,AP12,1396,0.7734026947734435,4.428609848022461,0.015616416931152344,56458,1.0233224856655818
MD-prior,AP12,1401,0.7708584837838938,4.223883152008057,0.018164515495300293,56260,1.026087901173257
MD-prior,AP12,1405,0.7660357375624592,4.185020923614502,-0.1717209815979004,55891,1.034268107668486
MD-prior,AP12,1411,0.7596726996857049,4.077225685119629,0.03439188003540039,55695,1.0349041233237248
MD-prior,AP12,1421,0.7589412665427103,4.023373126983643,-0.050961971282958984,55027,1.0310043254506993
MD-prior,AP12,1434,0.7673062143170839,4.118919372558594,0.21982192993164062,55276,1.0385473887508112
MD-prior,AP12,1598,0.8639756139716858,4.855900764465332,0.9355545043945312,54257,0.9517126780954888
MD-prior,AP12,1615,0.8337419731465265,4.821390151977539,0.19928812980651855,49355,0.9784772085155392
MD-map,AP12,0000,0.5616462059669958,2.917349338531494,-2.8922557830810547,59063,0.5616462059669958
MD-map,AP12,0023,0.5957054850147574,3.183901309967041,-3.0222833156585693,57019,0.5957054850147574
MD-map,AP12,0044,0.5956366244414938,1.5115439891815186,-0.919535756111145,58136,0.5957603543700143
MD-map,AP12,0050,0.5972104818258664,2.6979148387908936,-2.4947075843811035,57700,0.5972261812320001
MD-map,AP12,0066,0.5892593025066168,1.855313777923584,-1.428946852684021,58526,0.5892593025066168
MD-map,AP12,0075,0.5753000019017553,1.7687082290649414,-1.2539327144622803,58637,0.5753000019017553
MD-map,AP12,0077,0.5665245000473889,1.749098300933838,-1.3025999069213867,57907,0.5665245000473889
MD-map,AP12,0081,0.5647181334609215,1.9201934337615967,-1.4302730560302734,57938,0.5647181334609215
MD-map,AP12,0086,0.5620432526916712,2.2562594413757324,-1.7940700054168701,58566,0.5620432526916712
