START B models=MD-gt,MD-prior seqs=['AP12', 'MPM12', 'SM1'] every=1 2026-09-26 02:21:08
  B MD-prior MPM12 51/240 4.2s/kf | E-I=10.31 E-L=9.58 E-V2=107.12 E-V5b=107.54 E-V5b_r20=97.29 E-V5d=107.78 E-V5d_r20=97.35 E-V5x2=80.44 E-V5x2_r20=65.38 E-VI=80.44 E-VI_r20=68.56 | rot0 5.00
  B MD-prior MPM12 76/240 4.2s/kf | E-I=10.60 E-L=9.12 E-V2=98.30 E-V5b=96.59 E-V5b_r20=78.74 E-V5d=96.72 E-V5d_r20=78.99 E-V5x2=71.34 E-V5x2_r20=67.17 E-VI=71.34 E-VI_r20=68.73 | rot0 10.00
  B MD-prior MPM12 101/240 4.2s/kf | E-I=10.42 E-L=9.38 E-V2=111.16 E-V5b=107.90 E-V5b_r20=64.08 E-V5d=107.98 E-V5d_r20=64.19 E-V5x2=37.15 E-V5x2_r20=57.78 E-VI=56.95 E-VI_r20=72.76 | rot0 20.00
  B MD-prior MPM12 126/240 4.3s/kf | E-I=10.48 E-L=8.61 E-V2=131.13 E-V5b=114.24 E-V5b_r20=109.02 E-V5d=114.17 E-V5d_r20=108.67 E-V5x2=90.50 E-V5x2_r20=70.27 E-VI=94.74 E-VI_r20=82.71 | rot0 20.00
  B MD-prior MPM12 151/240 4.2s/kf | E-I=10.60 E-L=21.51 E-V2=76.72 E-V5b=83.29 E-V5b_r20=80.54 E-V5d=83.13 E-V5d_r20=80.50 E-V5x2=111.41 E-V5x2_r20=72.46 E-VI=109.56 E-VI_r20=75.93 | rot0 30.00
  B MD-prior MPM12 176/240 4.2s/kf | E-I=10.64 E-L=11.06 E-V2=123.07 E-V5b=109.58 E-V5b_r20=84.03 E-V5d=109.93 E-V5d_r20=83.85 E-V5x2=54.81 E-V5x2_r20=94.72 E-VI=75.50 E-VI_r20=97.95 | rot0 45.00
  B MD-prior MPM12 201/240 4.3s/kf | E-I=11.97 E-L=58.33 E-V2=124.80 E-V5b=89.91 E-V5b_r20=99.51 E-V5d=90.48 E-V5d_r20=99.74 E-V5x2=62.87 E-V5x2_r20=87.13 E-VI=81.65 E-VI_r20=87.13 | rot0 45.00
  B MD-prior MPM12 226/240 3.3s/kf | E-I=59.73 E-L=60.00 E-V2=137.11 E-V5b=107.10 E-V5b_r20=98.48 E-V5d=107.15 E-V5d_r20=98.49 E-V5x2=84.20 E-V5x2_r20=80.61 E-VI=89.31 E-VI_r20=104.81 | rot0 60.00
DONE B MD-prior MPM12 jobs 240 992s | E-I=10.76/0% E-L=12.28/2% E-V2=114.79/0% E-V5b=103.48/0% E-V5b_r20=91.13/0% E-V5d=103.65/0% E-V5d_r20=91.05/0% E-V5x2=75.83/0% E-V5x2_r20=73.15/0% E-VI=85.06/0% E-VI_r20=82.51/0% | rot0 25.00
  B MD-prior SM1 1/240 4.2s/kf | E-I=7.07 E-L=10.02 E-V2=86.04 E-V5b=76.88 E-V5b_r20=78.64 E-V5d=77.66 E-V5d_r20=78.94 E-V5x2=11.80 E-V5x2_r20=23.19 E-VI=11.80 E-VI_r20=23.19 | rot0 5.00
  B MD-prior SM1 26/240 4.2s/kf | E-I=6.10 E-L=6.21 E-V2=107.75 E-V5b=81.95 E-V5b_r20=88.15 E-V5d=82.53 E-V5d_r20=88.28 E-V5x2=65.94 E-V5x2_r20=109.25 E-VI=65.94 E-VI_r20=109.25 | rot0 5.00
  B MD-prior SM1 51/240 4.2s/kf | E-I=5.21 E-L=9.76 E-V2=95.99 E-V5b=112.05 E-V5b_r20=89.94 E-V5d=112.14 E-V5d_r20=89.78 E-V5x2=44.66 E-V5x2_r20=106.79 E-VI=61.34 E-VI_r20=106.79 | rot0 5.00
  B MD-prior SM1 76/240 4.3s/kf | E-I=5.12 E-L=8.43 E-V2=91.07 E-V5b=66.83 E-V5b_r20=85.52 E-V5d=66.05 E-V5d_r20=85.53 E-V5x2=75.85 E-V5x2_r20=68.27 E-VI=75.85 E-VI_r20=85.51 | rot0 10.00
  B MD-prior SM1 101/240 4.3s/kf | E-I=5.83 E-L=9.28 E-V2=116.79 E-V5b=111.09 E-V5b_r20=111.85 E-V5d=110.99 E-V5d_r20=112.35 E-V5x2=87.36 E-V5x2_r20=118.15 E-VI=87.36 E-VI_r20=118.15 | rot0 20.00
  B MD-prior SM1 126/240 4.3s/kf | E-I=5.77 E-L=17.75 E-V2=116.95 E-V5b=105.74 E-V5b_r20=62.76 E-V5d=105.96 E-V5d_r20=63.28 E-V5x2=44.28 E-V5x2_r20=85.47 E-VI=44.28 E-VI_r20=85.47 | rot0 20.00
  B MD-prior SM1 151/240 4.3s/kf | E-I=5.45 E-L=22.96 E-V2=92.96 E-V5b=88.74 E-V5b_r20=89.07 E-V5d=88.74 E-V5d_r20=89.06 E-V5x2=78.62 E-V5x2_r20=76.32 E-VI=82.62 E-VI_r20=76.32 | rot0 30.00
  B MD-prior SM1 176/240 3.3s/kf | E-I=6.23 E-L=37.81 E-V2=155.39 E-V5b=107.11 E-V5b_r20=99.13 E-V5d=107.36 E-V5d_r20=99.44 E-V5x2=60.00 E-V5x2_r20=82.12 E-VI=92.47 E-VI_r20=84.86 | rot0 45.00
  B MD-prior SM1 201/240 4.2s/kf | E-I=6.15 E-L=45.00 E-V2=94.78 E-V5b=65.65 E-V5b_r20=76.38 E-V5d=65.80 E-V5d_r20=76.44 E-V5x2=102.25 E-V5x2_r20=71.55 E-VI=108.15 E-VI_r20=70.00 | rot0 45.00
  B MD-prior SM1 226/240 4.2s/kf | E-I=8.92 E-L=60.00 E-V2=101.90 E-V5b=107.14 E-V5b_r20=89.17 E-V5d=107.20 E-V5d_r20=89.52 E-V5x2=106.31 E-V5x2_r20=135.42 E-VI=106.31 E-VI_r20=135.42 | rot0 60.00
DONE B MD-prior SM1 jobs 240 999s | E-I=5.86/17% E-L=15.81/7% E-V2=109.68/0% E-V5b=99.11/0% E-V5b_r20=92.39/0% E-V5d=99.09/0% E-V5d_r20=92.59/0% E-V5x2=78.25/0% E-V5x2_r20=97.72/0% E-VI=86.34/0% E-VI_r20=99.86/0% | rot0 25.00
END 2026-09-26 04:04:14
